,Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context,Example source,grammatical_categories
2951, дан ихетоп олатс ачирепет отэ окьлокс,минхи,сколько это теперича стало потехи над ,ихним, ,братом. ,Г. И. Успенский. Наблюдения Михаила Ивановича / Из цикла «Разоренье» (1869),Г. И. Успенский,1843,Наблюдения Михаила Ивановича / Из цикла «Разоренье»,1869,художественная,повесть,,Успенский Г. И. Собрание сочинений в девяти томах. Том 2. Разоренье. Очерки и рассказы,1955,книга,омонимия снята автоматически,"И что это, я погляжу, -- говорит она, улыбаясь и как-то изнемогая, -- и сколько это теперича стало потехи над ихним братом. ",69098:716:18,anim sing masc
2952," десос ,цепук ,возолоП",йинхи,"Полозов, купец, сосед ",ихний,", -- ",отвечала мне попадья. ,"Н. Д. Хвощинская. Первая борьба // «Отечественные записки», N№ 8, 9, 1869",Н. Д. Хвощинская,1822,Первая борьба,1869,художественная,повесть,,"«Отечественные записки», N№ 8, 9, 1869",1869,журнал,омонимия снята автоматически,"Полозов, купец, сосед ихний, -- отвечала мне попадья. ",64529:4665:3,anim sing femn
2953, ыб ым и аД,минхи,Да и мы бы ,ихним, ,"товаром торговать стали, потому что товар",М. Е. Салтыков-Щедрин. Письма о провинции (1868-1870),М. Е. Салтыков-Щедрин,1826,Письма о провинции,1868-1870,публицистика | нехудожественная,очерк | цикл,политика и общественная жизнь,М. Е. Салтыков-Щедрин. Собрание сочинений в 20 т. Т. 7,1969,книга,омонимия снята автоматически,"Да и мы бы ихним товаром торговать стали, потому что товар нужный, ходкий; только против их потрафить никак невозможно! ",68209:1757:4,inan sing masc
2954, еокат овтстагоб и вопукто хымас хитэ,еенхи,этих самых откупов и богатство такое ,ихнее, ,произошло... ,А. А. Потехин. Виноватая (1868),А. А. Потехин,1829,Виноватая,1868,художественная,пьеса,,Сочинения А. А. Потехина. Том девятый. Драмы и комедии,1905,книга,омонимия снята автоматически,"Чай известно вам или нет-с: ведь, папенька-то Алексея Алексеича, да и сами они откупами занимались; от этих самых откупов и богатство такое ихнее произошло... ",62645:911:24,
2955," йымас тотэ ежад и ,йокьнемам с",йынхи,"с маменькой, и даже этот самый ",ихный, ,"братец оченно, значит, разгневались на барыню",А. А. Потехин. Виноватая (1868),А. А. Потехин,1829,Виноватая,1868,художественная,пьеса,,Сочинения А. А. Потехина. Том девятый. Драмы и комедии,1905,книга,омонимия снята автоматически,"Оченно папенька с маменькой, и даже этот самый ихный братец оченно, значит, разгневались на барыню: на что вас опокинула... ",62645:2850:8,anim sing masc
2956," ьташулс ен ,имаквед ясьтакелву ен яслялкоп",хинхи,"поклялся не увлекаться девками, не слушать ",ихних, ,"любезностей, но, встретившись с Лизаветой Елизаровной",Ф. М. Решетников. Где лучше? (1868),Ф. М. Решетников,1841,Где лучше?,1868,художественная,роман,,Ф. М. Решетников. Где лучше?: Роман в двух частях,1982,книга,омонимия снята автоматически,"Еще бывши в остроге, он поклялся не увлекаться девками, не слушать ихних любезностей, но, встретившись с Лизаветой Елизаровной, он не мог устоять. ",67961:1889:11,inan plur femn
2957, лишуран мет и юнсеп юулесев ьтепс,йинхи,спеть веселую песню и тем нарушил ,ихний, ,"спокой, потому что они пели от",Ф. М. Решетников. Где лучше? (1868),Ф. М. Решетников,1841,Где лучше?,1868,художественная,роман,,Ф. М. Решетников. Где лучше?: Роман в двух частях,1982,книга,омонимия снята автоматически,"Скоро мужчины и женщины разошлись, рассуждая о том, как управляющий Егорьевскими промыслами подошел к рабочим и стал просить их спеть веселую песню и тем нарушил ихний спокой, потому что они пели от души. ",67961:2733:25,
2958," етиртомссар и ьсетиртомсв ,етипретоП",еинхи,"Потерпите, всмотритесь и рассмотрите ",ихние, ,"характеры, и со временем вы отличите",Ф. М. Решетников. Где лучше? (1868),Ф. М. Решетников,1841,Где лучше?,1868,художественная,роман,,Ф. М. Решетников. Где лучше?: Роман в двух частях,1982,книга,омонимия снята автоматически,"Потерпите, всмотритесь и рассмотрите ихние характеры, и со временем вы отличите из них достойную вас, -- разъяснила полковница. ",67961:6642:4,inan plur masc
2959," оп ,ретиП и ,ьнзиж авоканидо едзев",уменхи,"везде одинакова жизнь, и Питер, по ",ихнему, ,"мнению, еще, пожалуй, хуже, потому что",Ф. М. Решетников. Где лучше? (1868),Ф. М. Решетников,1841,Где лучше?,1868,художественная,роман,,Ф. М. Решетников. Где лучше?: Роман в двух частях,1982,книга,омонимия снята автоматически,"Начались общие сетования на мужицкую долю, на то, что мужику везде одинакова жизнь, и Питер, по ихнему мнению, еще, пожалуй, хуже, потому что редкий к концу лета не захворает чем-нибудь. ",67961:8008:16,inan sing neut
2960," аречв умотоп ,атанмок ьтсе ьрепет йен",йинхи,"ней теперь есть комната, потому вчера ",ихний, ,жилец повздорил с ними и вечером,Ф. М. Решетников. Где лучше? (1868),Ф. М. Решетников,1841,Где лучше?,1868,художественная,роман,,Ф. М. Решетников. Где лучше?: Роман в двух частях,1982,книга,омонимия снята автоматически,"Она вот тут за дровяным двором с сестрой и с мужем живет, у ней теперь есть комната, потому вчера ихний жилец повздорил с ними и вечером же перешел на другую квартиру. ",67961:8382:19,anim sing masc
2961, А,еенхи,А ,ихнее, ,дело тоже... где возжаться!.. ,Ф. М. Решетников. Тетушка Опарина (1868),Ф. М. Решетников,1841,Тетушка Опарина,1868,художественная,рассказ,,"Ф. М. Решетников. Между людьми. Повести, рассказы и очерки",1995,книга,омонимия снята автоматически,А ихнее дело тоже... где возжаться!.. ,67970:19:1,inan sing neut
2962," тотэ ,теуделс как оге ыт иребзар",йинхи,"разбери ты его как следует, этот ",ихний, ,"savoir vivre, -- ан выйдет то же",М. Е. Салтыков-Щедрин. Наш savoir vivre (1868),М. Е. Салтыков-Щедрин,1826,Наш savoir vivre,1868,публицистика | нехудожественная,очерк,политика и общественная жизнь,М. Е. Салтыков-Щедрин. Собрание сочинений в 20 т. Т. 7,1969,книга,омонимия снята автоматически,"Возьми, например, хоть то: выдумали теперь какой-то savoir vivre, а разбери ты его как следует, этот ихний savoir vivre, -- ан выйдет то же мошенничество!» Эти слова принадлежат не мне, а бабушке Прасковье Павловне, которая во всем околотке известна своею мудростью и откровенностью (однажды она, за эту самую откровенность, чуть-чуть не была водворена в город Варнавин). ",68202:5:16,
2963, Я,йинхи,Я ,ихний, ,сельской. ,А. А. Фет. Из деревни. 3 (1868),А. А. Фет,1820,Из деревни. 3,1868,публицистика | нехудожественная,очерк | цикл,политика и общественная жизнь,"Жизнь Степановки, или Лирическое хозяйство",2001,книга,омонимия снята автоматически,Я ихний сельской. ,64085:652:1,
2964," и от ,ешан отч ,отч :ми",еенхи,"им: что, что наше, то и ",ихнее,. ,,Л. Н. Толстой. Война и мир. Том третий (1867-1869),Л. Н. Толстой,1828,Война и мир. Том третий,1867-1869,художественная,роман,,,,книга,омонимия снята автоматически,"Я тебе приказываю именем брата, и скажи им: что, что наше, то и ихнее. ",68909:2720:13,
2965," ьрац ,ил отч ,мас отэ ,ж",йинхи,"ж, это сам, что ли, царь ",ихний,? ,,Л. Н. Толстой. Война и мир. Том третий (1867-1869),Л. Н. Толстой,1828,Война и мир. Том третий,1867-1869,художественная,роман,,,,книга,омонимия снята автоматически,"Что ж, это сам, что ли, царь ихний? ",68909:6784:7,
2966," ен ано илок ,унед я адук",яянхи,"куда я дену, коли она не ",ихняя,! -- ,говорила баба. ,Л. Н. Толстой. Война и мир. Том третий (1867-1869),Л. Н. Толстой,1828,Война и мир. Том третий,1867-1869,художественная,роман,,,,книга,омонимия снята автоматически,"Девочку-то, девочку-то куда я дену, коли она не ихняя! -- говорила баба. ",68909:7699:10,anim sing femn
2967," еывтрем илажел цясем йатичоп ,тировог ,отч",еинхи,"что, говорит, почитай месяц лежали мертвые ",ихние,-,то. ,Л. Н. Толстой. Война и мир. Том четвертый (1867-1869),Л. Н. Толстой,1828,Война и мир. Том четвертый,1867-1869,художественная,роман,,,,книга,омонимия снята автоматически,"Ведь то мудрено, братцы мои, -- продолжал тот, который удивлялся их белизне, -- сказывали мужики под Можайским, как стали убирать битых, где страженья-то была, так ведь что, говорит, почитай месяц лежали мертвые ихние-то. ",68910:3617:31,
2968," ,тировог ,тижел ,тировог ,ж отЧ",йинхи,"Что ж, говорит, лежит, говорит, ",ихний,-,"то, как бумага белый, чистый, ни",Л. Н. Толстой. Война и мир. Том четвертый (1867-1869),Л. Н. Толстой,1828,Война и мир. Том четвертый,1867-1869,художественная,роман,,,,книга,омонимия снята автоматически,"Что ж, говорит, лежит, говорит, ихний-то, как бумага белый, чистый, ни синь пороха не пахнет. ",68910:3618:5,inan sing femn
2969, А,йинхи,А ,ихний,", ","говорит, как бумага белый; ни синь",Л. Н. Толстой. Война и мир. Том четвертый (1867-1869),Л. Н. Толстой,1828,Война и мир. Том четвертый,1867-1869,художественная,роман,,,,книга,омонимия снята автоматически,"А ихний, говорит, как бумага белый; ни синь пороха не пахнет. ",68910:3626:1,inan sing femn
2970, оП,уменхи,По ,ихнему, ,"же делу, -- мотнула она головой на",В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 6 (1867),В. В. Крестовский,1840,Петербургские трущобы. Книга о сытых и голодных. Ч. 6,1867,художественная,роман,,Крестовский В. В. Петербургские трущобы. Книга о сытых и голодных,1990,книга,омонимия снята автоматически,"По ихнему же делу, -- мотнула она головой на группу, суетившуюся вокруг Анны, -- только два словечка, ваше превосходительство, а что в большом антиреси -- так уж наверное будете, то есть в пребольшущем антиреси! ",65157:4900:1,inan sing neut
2971, в мокищропарп монидопсог с етсемв ьсетьварпто,йинхи,отправьтесь вместе с господином прапорщиком в ,ихний, ,"кабинет, да кончайте поскорей, чтобы не",В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 6 (1867),В. В. Крестовский,1840,Петербургские трущобы. Книга о сытых и голодных. Ч. 6,1867,художественная,роман,,Крестовский В. В. Петербургские трущобы. Книга о сытых и голодных,1990,книга,омонимия снята автоматически,"Не угодно ли вам отписываться, а вы, господин поручик (начальственный взгляд на Летучего), извольте получить ключи и отправьтесь вместе с господином прапорщиком в ихний кабинет, да кончайте поскорей, чтобы не тревожить долго господина Белкина. ",65157:5507:23,inan sing masc
2972, в отч ;макищмя мигурд тажелданирп идашол,менхи,лошади принадлежат другим ямщикам; что в ,ихнем, ,обозе теперь идет девять ямщиков; те,Ф. М. Решетников. Очерки обозной жизни (1867),Ф. М. Решетников,1841,Очерки обозной жизни,1867,художественная,очерк | цикл,,"Ф. М. Решетников. Между людьми. Повести, рассказы и очерки",1995,книга,омонимия снята автоматически,"От него я только и узнал, что он ямщичит двадцать лет; имеет три лошади, остальные лошади принадлежат другим ямщикам; что в ихнем обозе теперь идет девять ямщиков; те лошади, что идут на привязи, принадлежат разным ямщикам, и в обозе есть начальник, Андрей Степаныч Крюков, который ведет четыре лошади, но в чем заключается его начальство, он не объяснил. ",67969:421:21,inan sing masc
2973, яьдуС,йинхи,Судья ,ихний,", ","в вольной одеже, посреди сидел... повыше",К. М. Станюкович. Отмена телесных наказаний (1867),К. М. Станюкович,1843,Отмена телесных наказаний,1867,художественная,рассказ,,Станюкович К.M. Собр. соч. В 10 т,1977,книга,омонимия снята автоматически,"Судья ихний, в вольной одеже, посреди сидел... повыше этак, и тоже слушал. ",128287:188:1,inan sing femn
2974," ан рецифо шан как ,илашулс ьтяпО",менхи,"Опять слушали, как наш офицер на ",ихнем, ,языке мой доказ говорил... ,К. М. Станюкович. Отмена телесных наказаний (1867),К. М. Станюкович,1843,Отмена телесных наказаний,1867,художественная,рассказ,,Станюкович К.M. Собр. соч. В 10 т,1977,книга,омонимия снята автоматически,"Опять слушали, как наш офицер на ихнем языке мой доказ говорил... ",128287:190:6,inan sing masc
2975," в и ,ьтыб тежом ,амод и",йенхи,"и дома, может быть, и в ",ихней, ,"там семинарии в дугу гнули, характер","Н. В. Шелгунов. Люди сороковых и шестидесятых годов (1867) // «Дело», 1869",Н. В. Шелгунов,1824,Люди сороковых и шестидесятых годов,1867,публицистика | нехудожественная,очерк,искусство и культура | политика и общественная жизнь,"«Дело», 1869",1869,журнал,омонимия снята автоматически,"Оттого, что семинарист: его и дома, может быть, и в ихней там семинарии в дугу гнули, характер по крайней мере в человеке выработали и трудиться приучили. ",68388:2446:10,inan sing femn
2976, --,йінхИ,-- ,Ихній, ,"лакей нашему сказывалъ, какъ мы ихъ",А. К. Шеллер-Михайлов. Засоренные дороги (1867),А. К. Шеллер-Михайлов,1838,Засоренные дороги,1867,художественная,повесть,,Полное собранiе сочиненiй А. К. Шеллера-Михайлова,1904,книга,омонимия снята автоматически,"Ихній лакей нашему сказывалъ, какъ мы ихъ обогнали. ",68423:586:0,anim sing masc
2977, уратиг чынавИ немеС,ююнхи,Семен Иваныч гитару ,ихнюю, ,"сломал, только верешечки остались. ",И. Ф. Горбунов. Живем в свое удовольствие. Сцены из купеческого быта (1866),И. Ф. Горбунов,1831,Живем в свое удовольствие. Сцены из купеческого быта,1866,художественная,пьеса,,"И. Ф. Горбунов. Сочинения. Т.1 - СПб., 1902",1902,электронный текст,омонимия снята автоматически,"Семен Иваныч гитару ихнюю сломал, только верешечки остались. ",62577:168:3,inan sing femn
2978," как кат ,ытанмок еигурд в теди",яянхи,"идет в другие комнаты, так как ",ихняя, ,была проходная. ,Ф. М. Достоевский. Преступление и наказание (1866),Ф. М. Достоевский,1821,Преступление и наказание,1866,художественная,роман,,Ф. Достоевский. Полное собрание сочинений в 30 томах,1972,книга,омонимия снята автоматически,"Но, верно, ей тотчас же представилось, что он идет в другие комнаты, так как ихняя была проходная. ",63905:521:14,inan sing femn
2979, елвешед тиотс от-ажалкоп :окжонмен лудандоп,огенхи,поднадул немножко: поклажа-то стоит дешевле ,ихнего, ,"проезда, а пожалуй, что и задаром",Ф. М. Достоевский. Преступление и наказание (1866),Ф. М. Достоевский,1821,Преступление и наказание,1866,художественная,роман,,Ф. Достоевский. Полное собрание сочинений в 30 томах,1972,книга,омонимия снята автоматически,"Да и тут деловой человек их поднадул немножко: поклажа-то стоит дешевле ихнего проезда, а пожалуй, что и задаром пойдет. ",63905:827:12,inan sing masc
2980, ециьталп и ноВ,еенхи,Вон и платьице ,ихнее, ,разорвано... ,Ф. М. Достоевский. Преступление и наказание (1866),Ф. М. Достоевский,1821,Преступление и наказание,1866,художественная,роман,,Ф. Достоевский. Полное собрание сочинений в 30 томах,1972,книга,омонимия снята автоматически,Вон и платьице ихнее разорвано... ,63905:1015:3,
2981," ,лисон кабак в ад лавыдаркбо саН",ююнхи,"Нас обкрадывал да в кабак носил, ",ихнюю, ,да мою жизнь в кабаке извел! ,Ф. М. Достоевский. Преступление и наказание (1866),Ф. М. Достоевский,1821,Преступление и наказание,1866,художественная,роман,,Ф. Достоевский. Полное собрание сочинений в 30 томах,1972,книга,омонимия снята автоматически,"Нас обкрадывал да в кабак носил, ихнюю да мою жизнь в кабаке извел! ",63905:4367:6,inan sing femn
2982, икжинк ебет Я,еинхи,Я тебе книжки ,ихние, ,"покажу: все у них потому, что",Ф. М. Достоевский. Преступление и наказание (1866),Ф. М. Достоевский,1821,Преступление и наказание,1866,художественная,роман,,Ф. Достоевский. Полное собрание сочинений в 30 томах,1972,книга,омонимия снята автоматически,"Я тебе книжки ихние покажу: все у них потому, что «среда заела», -- и ничего больше! ",63905:6127:3,
2983," в отч ,мот в олед есВ",йенхи,"Все дело в том, что в ",ихней, ,статье все люди как-то разделяются на,Ф. М. Достоевский. Преступление и наказание (1866),Ф. М. Достоевский,1821,Преступление и наказание,1866,художественная,роман,,Ф. Достоевский. Полное собрание сочинений в 30 томах,1972,книга,омонимия снята автоматически,"Все дело в том, что в ихней статье все люди как-то разделяются на «обыкновенных» и «необыкновенных». ",63905:6212:6,inan sing femn
2984, уциртсес и унвонавИ унелА,ююнхи,Алену Ивановну и сестрицу ,ихнюю,", ","Лизавету Ивановну, я... убил... топором. ",Ф. М. Достоевский. Преступление и наказание (1866),Ф. М. Достоевский,1821,Преступление и наказание,1866,художественная,роман,,Ф. Достоевский. Полное собрание сочинений в 30 томах,1972,книга,омонимия снята автоматически,"Алену Ивановну и сестрицу ихнюю, Лизавету Ивановну, я... убил... топором. ",63905:8506:4,anim sing femn
2985, йырдумерп йокат тов И,йинхи,И вот такой премудрый ,ихний, ,кодекс называют они свободой. ,М. Е. Салтыков-Щедрин. Завещание моим детям (1866),М. Е. Салтыков-Щедрин,1826,Завещание моим детям,1866,публицистика | нехудожественная,очерк,политика и общественная жизнь,М. Е. Салтыков-Щедрин. Собрание сочинений в 20 т. Т. 7,1969,книга,омонимия снята автоматически,И вот такой премудрый ихний кодекс называют они свободой. ,68214:40:4,inan sing masc
2986," еж ьтяпо и ,тидибо ен акнебер",яянхи,"ребенка не обидит, и опять же ",ихняя, ,супруга только и знает что по-французски,Н. В. Успенский. Федор Петрович (1866),Н. В. Успенский,1837,Федор Петрович,1866,художественная,повесть,,Н. В. Успенский. Издалека и вблизи: Избранные повести и рассказы,1986,книга,омонимия снята автоматически,"Человек вежливый! — разламывая крендель, продолжал кучер, — благородный, значит, потому образованный человек, не так, как теперь здешние помещики — всё норовят дело не дело облаять нашего брата; ну, а этот малого ребенка не обидит, и опять же ихняя супруга только и знает что по-французски жарит; верно говорю вам. ",69036:125:35,anim sing femn
2987," ъзи йіжохорп ,йіжзѣорп ястедйан :ътенатс ен",огянхи,"не станетъ: найдется проѣзжій, прохожій изъ ",ихняго, ,"же брата, которому, равно какъ и",П. И. Якушкин. Бунты на Руси. Очеркъ первый (1866),П. И. Якушкин,1822,Бунты на Руси. Очеркъ первый,1866,публицистика | нехудожественная,очерк,история,Издание Вл. Михневича. С.-Петербург. 1884,1884,книга,омонимия снята автоматически,"Онъ подозрѣваетъ, что по большей части бываетъ и справедливо, что ему не все сказано и что самая суть дѣла не объявлена; за толкованіями дѣло не станетъ: найдется проѣзжій, прохожій изъ ихняго же брата, которому, равно какъ и далевскому матросу, объясняющему причину вѣтровъ, совѣстно чего бы то ни было не знать, и тотъ ему толкуетъ, какъ ему хочется. ",69841:6:30,anim sing masc
2988, ьнзиЖ,яянхи,Жизнь ,ихняя, ,тоже... ,И. Ф. Горбунов. На ярмарке. Сцены из купеческого быта (1865),И. Ф. Горбунов,1831,На ярмарке. Сцены из купеческого быта,1865,художественная,пьеса,,"И. Ф. Горбунов. Сочинения. Т.1 - СПб., 1902",1902,электронный текст,омонимия снята автоматически,Жизнь ихняя тоже... ,62582:106:1,
2989," ен нойон отч ,указак а ,енм",йинхи,"мне, а казаку, что нойон не ",ихний, (,не земский) и лошадей давать не,П. А. Кропоткин. Дневник (1865),П. А. Кропоткин,1842,Дневник,1865,бытовая | нехудожественная,"дневник, записные книжки","частная жизнь | транспорт | природа | администрация и управление | бизнес, коммерция, экономика, финансы","Кропоткин П. А. Дневники разных лет. М.: Сов. Россия, 1992. (Русские дневники).",1992,книга,омонимия снята автоматически,"Старшина объявил, конечно, не мне, а казаку, что нойон не ихний (не земский) и лошадей давать не обязаны. ",63674:906:10,anim plur femn
2990, ан тудеву или тижебаз ьнок ьрепет,ююнхи,теперь конь забежит или уведут на ,ихнюю, ,"сторону, так может с этой печатью",П. А. Кропоткин. Дневник (1865),П. А. Кропоткин,1842,Дневник,1865,бытовая | нехудожественная,"дневник, записные книжки","частная жизнь | транспорт | природа | администрация и управление | бизнес, коммерция, экономика, финансы","Кропоткин П. А. Дневники разных лет. М.: Сов. Россия, 1992. (Русские дневники).",1992,книга,омонимия снята автоматически,"Печать -- «если вот теперь конь забежит или уведут на ихнюю сторону, так может с этой печатью ехать и по этой печати должны разыскать». ",63674:1202:9,inan sing femn
2991," еще ил йечновзоп ен ,йулажоп ,от",огенхи,"то, пожалуй, не позвончей ли еще ",ихнего, ,"будет? -- сказал наконец сочинитель, самодовольно улыбаясь",А. И. Левитов. Газета в селе (1865),А. И. Левитов,1835,Газета в селе,1865,художественная,рассказ,,А. И. Левитов. Избранные произведения,1988,книга,омонимия снята автоматически,"Этак-то, пожалуй, не позвончей ли еще ихнего будет? -- сказал наконец сочинитель, самодовольно улыбаясь и награждая себя за свое бдение зараз двумя рюмками. ",65468:358:7,anim sing masc
2992," еокак ,ьтедив етиловзи тоВ",еенхи,"Вот изволите видеть, какое ",ихнее, ,и у богатых-то понятие. ,Н. С. Лесков. Леди Макбет Мценского уезда (1865),Н. С. Лесков,1831,Леди Макбет Мценского уезда,1865,художественная,очерк,,Н. С. Лесков. Собрание сочинений,1993,книга,омонимия снята автоматически,"Вот изволите видеть, какое ихнее и у богатых-то понятие. ",65431:122:4,inan sing neut
2993," с еен у отдуб -- ,но тировог",минхи,"говорит он, -- будто у нее с ",ихним, ,приказчиком Сережкой по всякую минуту амуры,Н. С. Лесков. Леди Макбет Мценского уезда (1865),Н. С. Лесков,1831,Леди Макбет Мценского уезда,1865,художественная,очерк,,Н. С. Лесков. Собрание сочинений,1993,книга,омонимия снята автоматически,"А вот, ребята: чудно тоже про молодую Измайлиху сказывают, -- заговорил, подходя к дому Измайловых, молодой машинист, привезенный одним купцом из Петербурга на свою паровую мельницу, -- сказывают, -- говорит он, -- будто у нее с ихним приказчиком Сережкой по всякую минуту амуры идут... ",65431:697:32,anim sing masc
2994," ееньлетичанзоп тедуб яароток ,иицартсномед йокат ястуджод",йенхи,"дождутся такой демонстрации, которая будет позначительнее ",ихней,. ,,В. Ф. Одоевский. Дневник В. Ф. Одоевского 1859-1869 гг. (1865),В. Ф. Одоевский,1804,Дневник В. Ф. Одоевского 1859-1869 гг.,1865,бытовая | нехудожественная,"дневник, записные книжки",частная жизнь | искусство и культура | политика и общественная жизнь,"Текущая хроника и особые происшествия (Дневник В. Ф. Одоевского 1859-1869 гг.) “Литературное наследство”, 1935, т. 22-24., Князь Владимир Одоевский: дневник. Переписка. Материалы : к 200-летию со дня рождения. М.: Дека-ВС, 2005.",2005,книга,омонимия снята автоматически,"Говорил я ослам, что они дождутся такой демонстрации, которая будет позначительнее ихней. ",63744:192:11,
2995," тов икшидюл ;лыб ен ,с-теН",еинхи,"Нет-с, не был; людишки вот ",ихние, ,часто тоже бегали к нам и,А. Ф. Писемский. Русские лгуны (1865),А. Ф. Писемский,1821,Русские лгуны,1865,художественная,очерк | цикл,,ПисемскийА. Ф. Собр. соч. в 9 т. Т. 7,1959,книга,омонимия снята автоматически,"Нет-с, не был; людишки вот ихние часто тоже бегали к нам и сказывали, что она, как они выражаются, одной этой сухой любовью его любила... он ведь в этом отношении, вы слыхали, я думаю... ",67033:800:6,
2996, робос йичинвонич тотэ ьсев -- уме тятсм,йинхи,мстят ему -- весь этот чиновничий собор ,ихний,! ,,А. Ф. Писемский. Русские лгуны (1865),А. Ф. Писемский,1821,Русские лгуны,1865,художественная,очерк | цикл,,ПисемскийА. Ф. Собр. соч. в 9 т. Т. 7,1959,книга,омонимия снята автоматически,"Это все я раскрою, -- продолжала она все более и более с возрастающим жаром, -- у меня дядя член государственного совета; я поеду по всем сенаторам, прямо им скажу, что я жена такого-то господина председателя, полюбила этого человека, убежала к нему, вот они и мстят ему -- весь этот чиновничий собор ихний! ",67033:1270:48,
2997," ьнзиж и ,йиненсетс зеб ястюажарыв ,отункмаз",яянхи,"замкнуто, выражаются без стеснений, и жизнь ",ихняя, ,"сложилась как-то по-полугородски, но зато",Ф. М. Решетников. Кумушка Мирониха (1865),Ф. М. Решетников,1841,Кумушка Мирониха,1865,художественная,рассказ,,"Ф. М. Решетников. Между людьми. Повести, рассказы и очерки",1995,книга,омонимия снята автоматически,"Отчего это так, а не иначе, -- мне бы следовало объяснить здесь, но я, для краткости рассказа, должен только сказать, что в Веретнинском заводе, имеющем постоянное сообщение с городом, люди не живут замкнуто, выражаются без стеснений, и жизнь ихняя сложилась как-то по-полугородски, но зато веретнинцы в десять раз практичнее приреченцев. ",67967:232:37,anim plur 
2998," ьтсобург яамас атэ ,етеанз ,как ,онченок",яянхи,"конечно, как, знаете, эта самая грубость ",ихняя,", ","ну, а впрочем... ",В. А. Слепцов. Трудное время (1865),В. А. Слепцов,1836,Трудное время,1865,художественная,повесть,,,,книга,омонимия снята автоматически,"Оно, конечно, как, знаете, эта самая грубость ихняя, ну, а впрочем... ",68584:1469:7,
2999, ьсев днож тотэ мат :от-акутш,йинхи,штука-то: там этот жонд весь ,ихний, -- ,к чертям!.. ,В. А. Слепцов. Трудное время (1865),В. А. Слепцов,1836,Трудное время,1865,художественная,повесть,,,,книга,омонимия снята автоматически,"Нет, слышите, какая штука-то: там этот жонд весь ихний -- к чертям!.. ",68584:1611:9,anim plur masc
3000," ыв окьлот ,етитох каК",йинхи,"Как хотите, только вы ",ихний, ,папаша. ,Г. И. Успенский. В деревне (Летние сцены) (1865),Г. И. Успенский,1843,В деревне (Летние сцены),1865,художественная,рассказ,,Успенский Г. И. Собрание сочинений в девяти томах. Том 1,1955,книга,омонимия снята автоматически,"Как хотите, только вы ихний папаша. ",69109:158:4,anim sing masc
3001," ялд ,еидороксешав ,Я",огенхи,"Я, вашескородие, для ",ихнего, ,добра очень стараюсь... ,Г. И. Успенский. В деревне (Летние сцены) (1865),Г. И. Успенский,1843,В деревне (Летние сцены),1865,художественная,рассказ,,Успенский Г. И. Собрание сочинений в девяти томах. Том 1,1955,книга,омонимия снята автоматически,"Я, вашескородие, для ихнего добра очень стараюсь... ",69109:503:3,inan sing neut
3002," тов кат ,межумаз монокяьд аз ациртсес",йинхи,"сестрица за дьяконом замужем, так вот ",ихний, ,"сын; зовут Петей, Петром то есь. ",Г. И. Успенский. Гость (1865),Г. И. Успенский,1843,Гость,1865,художественная,повесть,,Успенский Г. И. Собрание сочинений в девяти томах. Том 1,1955,книга,омонимия снята автоматически,"Моя сестрица за дьяконом замужем, так вот ихний сын; зовут Петей, Петром то есь. ",69067:96:7,anim sing masc
3003, ан ахерг огонМ,йенхи,Много греха на ,ихней, ,"душе, много, голубушка, ах, много! ",И. Ф. Горбунов. Самодур. Картины из купеческой жизни (1864),И. Ф. Горбунов,1831,Самодур. Картины из купеческой жизни,1864,художественная,пьеса,,"И. Ф. Горбунов. Сочинения. Т.1 - СПб., 1902",1902,электронный текст,омонимия снята автоматически,"Много греха на ихней душе, много, голубушка, ах, много! ",62590:67:3,inan sing femn
3004," едг ,алатравк ог-2 ,итсач йоксневтседжоР ,ьдащолп",огенхи,"площадь, Рождественской части, 2-го квартала, где ",ихнего, ,"брата обыкновенно публичному позору предают, -- пояснил",В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864),В. В. Крестовский,1840,Петербургские трущобы. Книга о сытых и голодных. Ч. 4,1864,художественная,роман,,Крестовский В. В. Петербургские трущобы. Книга о сытых и голодных,1990,книга,омонимия снята автоматически,"На Конную площадь, Рождественской части, 2-го квартала, где ихнего брата обыкновенно публичному позору предают, -- пояснил великий юрист, которого все еще не покидало светлое настроение духа по поводу удачного окончания «малоприятной истории». ",65155:2116:8,anim sing masc
3005," олед орп а ,еенноротсоп есв окьлот",еенхи,"только все постороннее, а про дело ",ихнее, ,ничего не спросили... и не сказывали,В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864),В. В. Крестовский,1840,Петербургские трущобы. Книга о сытых и голодных. Ч. 4,1864,художественная,роман,,Крестовский В. В. Петербургские трущобы. Книга о сытых и голодных,1990,книга,омонимия снята автоматически,"Меня тоже звали в часть... спрашивали, только все постороннее, а про дело ихнее ничего не спросили... и не сказывали мне... ",65155:2254:12,
